"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 12 20:08:59 GMT 2023","Fri May 12 20:09:00 GMT 2023","774","","Validar cadastro","","","","Acessar página principal",""
"passed","Fri May 12 20:08:38 GMT 2023","Fri May 12 20:08:43 GMT 2023","5219","","","","","","Realizar cadastro com CPF inválido",""
"passed","Fri May 12 20:08:47 GMT 2023","Fri May 12 20:08:50 GMT 2023","3128","","","","","","Realiza cadastro com sucesso",""
"passed","Fri May 12 20:08:44 GMT 2023","Fri May 12 20:08:47 GMT 2023","3032","","","","","","Não envia dados da CNH",""
